Codigo_interno,Codigo,Desc Concatenada,cantidad,deposito,pasillo,columna,estante,precio_cpa,precio_vta
1,WBUCH0000001,"Bulon Cab Hexagonal 1/4"" x 1/2"" (20H - UNC) - G5 - Pasivado Dorado",500,D0,P01,C,1,0,0
2,WBUCH0000002,"Bulon Cab Hexagonal 1/4"" x 5/8"" (20H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,1,0,0
3,WBUCH0000003,"Bulon Cab Hexagonal 1/4"" x 3/4"" (20H - UNC) - G5 - Pasivado Dorado",600,D0,P01,C,1,0,0
4,WBUCH0000004,"Bulon Cab Hexagonal 1/4"" x 7/8"" (20H - UNC) - G5 - Pasivado Dorado",300,D0,P01,C,1,0,0
5,WBUCH0000005,"Bulon Cab Hexagonal 1/4"" x 1"" (20H - UNC) - G5 - Pasivado Dorado",250,D0,P01,C,1,0,0
6,WBUCH0000006,"Bulon Cab Hexagonal 1/4"" x 1 1/4"" (20H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,1,0,0
7,WBUCH0000007,"Bulon Cab Hexagonal 1/4"" x 1 1/2"" (20H - UNC) - G5 - Pasivado Dorado",600,D0,P01,C,1,0,0
8,WBUCH0000008,"Bulon Cab Hexagonal 1/4"" x 1 3/4"" (20H - UNC) - G5 - Pasivado Dorado",500,D0,P01,C,1,0,0
9,WBUCH0000009,"Bulon Cab Hexagonal 1/4"" x 2"" (20H - UNC) - G5 - Pasivado Dorado",600,D0,P01,C,1,0,0
10,WBUCH0000010,"Bulon Cab Hexagonal 1/4"" x 2 1/4"" (20H - UNC) - G5 - Pasivado Dorado",600,D0,P01,C,1,0,0
11,WBUCH0000011,"Bulon Cab Hexagonal 1/4"" x 2 1/2"" (20H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,1,0,0
12,WBUCH0000012,"Bulon Cab Hexagonal 1/4"" x 2 3/4"" (20H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,1,0,0
13,WBUCH0000013,"Bulon Cab Hexagonal 1/4"" x 3"" (20H - UNC) - G5 - Pasivado Dorado",400,D0,P01,B,1,0,0
14,WBUCH0000014,"Bulon Cab Hexagonal 1/4"" x 3 1/4"" (20H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,1,0,0
15,WBUCH0000015,"Bulon Cab Hexagonal 1/4"" x 3 1/2"" (20H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,1,0,0
16,WBUCH0000016,"Bulon Cab Hexagonal 1/4"" x 4"" (20H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,1,0,0
17,WBUCH0000017,"Bulon Cab Hexagonal 1/4"" x 4 1/2"" (20H - UNC) - G5 - Pasivado Dorado",250,D0,P01,B,1,0,0
18,WBUCH0000018,"Bulon Cab Hexagonal 1/4"" x 5"" (20H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,1,0,0
19,WBUCH0000019,"Bulon Cab Hexagonal 1/4"" x 5 1/2"" (20H - UNC) - G5 - Pasivado Dorado",27,D0,P01,B,1,0,0
20,WBUCH0000020,"Bulon Cab Hexagonal 1/4"" x 6"" (20H - UNC) - G5 - Pasivado Dorado",9,D0,P01,B,1,0,0
21,WBUCH0000021,"Bulon Cab Hexagonal 5/16"" x 1/2"" (18H - UNC) - G5 - Pasivado Dorado",600,D0,P01,A,1,0,0
22,WBUCH0000022,"Bulon Cab Hexagonal 5/16"" x 5/8"" (18H - UNC) - G5 - Pasivado Dorado",250,D0,P01,A,1,0,0
23,WBUCH0000023,"Bulon Cab Hexagonal 5/16"" x 3/4"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,A,1,0,0
24,WBUCH0000024,"Bulon Cab Hexagonal 5/16"" x 7/8"" (18H - UNC) - G5 - Pasivado Dorado",500,D0,P01,A,1,0,0
25,WBUCH0000025,"Bulon Cab Hexagonal 5/16"" x 1"" (18H - UNC) - G5 - Pasivado Dorado",300,D0,P01,A,1,0,0
26,WBUCH0000026,"Bulon Cab Hexagonal 5/16"" x 1 1/4"" (18H - UNC) - G5 - Pasivado Dorado",200,D0,P01,A,1,0,0
27,WBUCH0000027,"Bulon Cab Hexagonal 5/16"" x 1 1/2"" (18H - UNC) - G5 - Pasivado Dorado",20,D0,P01,A,1,0,0
28,WBUCH0000028,"Bulon Cab Hexagonal 5/16"" x 1 3/4"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,A,1,0,0
29,WBUCH0000029,"Bulon Cab Hexagonal 5/16"" x 2"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,A,1,0,0
30,WBUCH0000030,"Bulon Cab Hexagonal 5/16"" x 2 1/4"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,A,1,0,0
31,WBUCH0000031,"Bulon Cab Hexagonal 5/16"" x 2 1/2"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,2,0,0
32,WBUCH0000032,"Bulon Cab Hexagonal 5/16"" x 2 3/4"" (18H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,2,0,0
33,WBUCH0000033,"Bulon Cab Hexagonal 5/16"" x 3"" (18H - UNC) - G5 - Pasivado Dorado",300,D0,P01,B,2,0,0
34,WBUCH0000034,"Bulon Cab Hexagonal 5/16"" x 3 1/4"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,2,0,0
35,WBUCH0000035,"Bulon Cab Hexagonal 5/16"" x 3 1/2"" (18H - UNC) - G5 - Pasivado Dorado",150,D0,P01,B,2,0,0
36,WBUCH0000036,"Bulon Cab Hexagonal 5/16"" x 4"" (18H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,2,0,0
37,WBUCH0000037,"Bulon Cab Hexagonal 5/16"" x 4 1/2"" (18H - UNC) - G5 - Pasivado Dorado",400,D0,P01,B,2,0,0
38,WBUCH0000038,"Bulon Cab Hexagonal 5/16"" x 5"" (18H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,2,0,0
39,WBUCH0000039,"Bulon Cab Hexagonal 5/16"" x 5 1/2"" (18H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,2,0,0
40,WBUCH0000040,"Bulon Cab Hexagonal 5/16"" x 6"" (18H - UNC) - G5 - Pasivado Dorado",32,D0,P01,B,2,0,0
41,WBUCH0000041,"Bulon Cab Hexagonal 3/8"" x 1/2"" (16H - UNC) - G5 - Pasivado Dorado",1200,D0,P01,C,2,0,0
42,WBUCH0000042,"Bulon Cab Hexagonal 3/8"" x 5/8"" (16H - UNC) - G5 - Pasivado Dorado",1000,D0,P01,C,2,0,0
43,WBUCH0000043,"Bulon Cab Hexagonal 3/8"" x 3/4"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,2,0,0
44,WBUCH0000044,"Bulon Cab Hexagonal 3/8"" x 7/8"" (16H - UNC) - G5 - Pasivado Dorado",250,D0,P01,B,3,0,0
45,WBUCH0000045,"Bulon Cab Hexagonal 3/8"" x 1"" (16H - UNC) - G5 - Pasivado Dorado",500,D0,P01,C,2,0,0
46,WBUCH0000046,"Bulon Cab Hexagonal 3/8"" x 1 1/4"" (16H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,2,0,0
47,WBUCH0000047,"Bulon Cab Hexagonal 3/8"" x 1 1/2"" (16H - UNC) - G5 - Pasivado Dorado",300,D0,P01,C,2,0,0
48,WBUCH0000048,"Bulon Cab Hexagonal 3/8"" x 1 3/4"" (16H - UNC) - G5 - Pasivado Dorado",150,D0,P01,C,2,0,0
49,WBUCH0000049,"Bulon Cab Hexagonal 3/8"" x 2"" (16H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,2,0,0
50,WBUCH0000050,"Bulon Cab Hexagonal 3/8"" x 2 1/4"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,3,0,0
51,WBUCH0000051,"Bulon Cab Hexagonal 3/8"" x 2 1/2"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,3,0,0
52,WBUCH0000052,"Bulon Cab Hexagonal 3/8"" x 2 3/4"" (16H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,3,0,0
53,WBUCH0000053,"Bulon Cab Hexagonal 3/8"" x 3"" (16H - UNC) - G5 - Pasivado Dorado",200,D0,P01,C,3,0,0
54,WBUCH0000054,"Bulon Cab Hexagonal 3/8"" x 3 1/4"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,3,0,0
55,WBUCH0000055,"Bulon Cab Hexagonal 3/8"" x 3 1/2"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,3,0,0
56,WBUCH0000056,"Bulon Cab Hexagonal 3/8"" x 4"" (16H - UNC) - G5 - Pasivado Dorado",50,D0,P01,C,3,0,0
57,WBUCH0000057,"Bulon Cab Hexagonal 3/8"" x 4 1/2"" (16H - UNC) - G5 - Pasivado Dorado",300,D0,P01,C,3,0,0
58,WBUCH0000058,"Bulon Cab Hexagonal 3/8"" x 5"" (16H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,3,0,0
59,WBUCH0000059,"Bulon Cab Hexagonal 3/8"" x 5 1/2"" (16H - UNC) - G5 - Pasivado Dorado",0,D0,P01,C,3,0,0
60,WBUCH0000060,"Bulon Cab Hexagonal 3/8"" x 6"" (16H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,3,0,0
61,WBUCH0000061,"Bulon Cab Hexagonal 3/8"" x 7"" (16H - UNC) - G5 - Pasivado Dorado",0,D0,P01,B,3,0,0
62,WBUCH0000062,"Bulon Cab Hexagonal 3/8"" x 8"" (16H - UNC) - G5 - Pasivado Dorado",14,D0,P01,B,3,0,0
63,WBUCH0000063,"Bulon Cab Hexagonal 3/8"" x 9"" (16H - UNC) - G5 - Pasivado Dorado",6,D0,P01,B,3,0,0
64,WBUCH0000064,"Bulon Cab Hexagonal 7/16"" x 3/4"" (14H - UNC) - G5 - Pasivado Dorado",250,D0,P01,B,3,0,0
65,WBUCH0000065,"Bulon Cab Hexagonal 7/16"" x 1"" (14H - UNC) - G5 - Pasivado Dorado",300,D0,P01,B,3,0,0
66,WBUCH0000066,"Bulon Cab Hexagonal 7/16"" x 1 1/4"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,3,0,0
67,WBUCH0000067,"Bulon Cab Hexagonal 7/16"" x 1 1/2"" (14H - UNC) - G5 - Pasivado Dorado",250,D0,P01,B,4,0,0
68,WBUCH0000068,"Bulon Cab Hexagonal 7/16"" x 1 3/4"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,4,0,0
69,WBUCH0000069,"Bulon Cab Hexagonal 7/16"" x 2"" (14H - UNC) - G5 - Pasivado Dorado",300,D0,P01,B,4,0,0
70,WBUCH0000070,"Bulon Cab Hexagonal 7/16"" x 2 1/4"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,4,0,0
71,WBUCH0000071,"Bulon Cab Hexagonal 7/16"" x 2 1/2"" (14H - UNC) - G5 - Pasivado Dorado",200,D0,P01,B,4,0,0
72,WBUCH0000072,"Bulon Cab Hexagonal 7/16"" x 2 3/4"" (14H - UNC) - G5 - Pasivado Dorado",0,D0,P01,B,4,0,0
73,WBUCH0000073,"Bulon Cab Hexagonal 7/16"" x 3"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,4,0,0
74,WBUCH0000074,"Bulon Cab Hexagonal 7/16"" x 3 1/4"" (14H - UNC) - G5 - Pasivado Dorado",12,D0,P01,B,4,0,0
75,WBUCH0000075,"Bulon Cab Hexagonal 7/16"" x 3 1/2"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,B,4,0,0
76,WBUCH0000076,"Bulon Cab Hexagonal 7/16"" x 4"" (14H - UNC) - G5 - Pasivado Dorado",50,D0,P01,B,4,0,0
77,WBUCH0000077,"Bulon Cab Hexagonal 7/16"" x 4 1/2"" (14H - UNC) - G5 - Pasivado Dorado",14,D0,P01,C,4,0,0
78,WBUCH0000078,"Bulon Cab Hexagonal 7/16"" x 5"" (14H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,4,0,0
79,WBUCH0000079,"Bulon Cab Hexagonal 7/16"" x 5 1/2"" (14H - UNC) - G5 - Pasivado Dorado",20,D0,P01,C,4,0,0
80,WBUCH0000080,"Bulon Cab Hexagonal 7/16"" x 6"" (14H - UNC) - G5 - Pasivado Dorado",30,D0,P01,C,4,0,0
81,WBUCH0000081,"Bulon Cab Hexagonal 7/16"" x 7"" (14H - UNC) - G5 - Pasivado Dorado",0,D0,P01,C,4,0,0
82,WBUCH0000082,"Bulon Cab Hexagonal 7/16"" x 8"" (14H - UNC) - G5 - Pasivado Dorado",0,D0,P01,D,4,0,0
83,WBUCH0000083,"Bulon Cab Hexagonal 7/16"" x 9"" (14H - UNC) - G5 - Pasivado Dorado",20,D0,P01,C,4,0,0
84,WBUCH0000084,"Bulon Cab Hexagonal 7/16"" x 10"" (14H - UNC) - G5 - Pasivado Dorado",10,D0,P01,C,4,0,0
85,WBUCH0000085,"Bulon Cab Hexagonal 1/2"" x 3/4"" (12H - UNC) - G5 - Pasivado Dorado",100,D0,P01,C,5,0,0
